seq,timestamp_ms,ax,ay,az,gx,gy,gz
1619,161222,3451,5590,-4822,3,12,-23
1620,161261,3525,5515,-4872,4,1,-12
1621,161272,3547,5497,-4877,9,-4,-12
1622,161284,3546,5493,-4867,9,-10,-16
1623,161294,3522,5523,-4849,7,-11,-21
1624,161305,3485,5550,-4803,2,-4,-22
1625,161315,3478,5532,-4769,-1,1,-24
1626,161333,3454,5566,-4815,0,3,-29
1627,161361,3489,5608,-4822,-17,5,-30
1628,161400,3558,5529,-4788,-5,9,-33
1629,161414,3486,5550,-4841,-20,16,-46
1630,161426,3463,5542,-4808,-33,21,-40
1631,161436,3473,5500,-4787,-37,23,-32
1632,161447,3479,5496,-4767,-33,21,-30
1633,161459,3452,5484,-4808,-21,15,-32
1634,161469,3401,5533,-4832,-12,12,-30
1635,161481,3355,5559,-4852,-15,10,-24
1636,161529,3429,5522,-4828,-21,3,1
1637,161556,3486,5539,-4700,3,-3,18
1638,161568,3442,5556,-4709,20,-5,21
1639,161579,3458,5548,-4761,39,-4,24
1640,161589,3511,5572,-4848,40,-1,24
1641,161600,3525,5612,-4902,24,3,20
1642,161617,3500,5547,-4804,-5,11,18
1643,161629,3515,5541,-4736,-9,11,15
1644,161659,3462,5609,-4824,39,5,3
1645,161707,3498,5598,-4827,-3,7,-19
1646,161721,3527,5573,-4789,-11,8,-23
1647,161732,3543,5574,-4783,-11,6,-28
1648,161744,3548,5585,-4808,-6,6,-35
1649,161754,3512,5576,-4839,0,7,-36
1650,161765,3465,5561,-4835,-5,7,-35
1651,161775,3469,5544,-4846,-11,6,-35
1652,161807,3408,5582,-4856,-5,2,-39
1653,161846,3529,5545,-4758,-12,2,-30
1654,161863,3462,5583,-4831,11,-2,-34
1655,161874,3402,5547,-4820,7,-2,-29
1656,161886,3395,5505,-4817,7,-2,-21
1657,161896,3402,5523,-4824,6,0,-18
1658,161908,3364,5534,-4827,0,-1,-20
1659,161919,3365,5557,-4815,0,-3,-12
1660,161954,3455,5553,-4813,11,-5,-2
1661,161997,3409,5522,-4785,-3,1,6
1662,162009,3399,5514,-4754,-2,2,7
1663,162020,3388,5553,-4782,1,6,6
1664,162030,3399,5584,-4851,9,7,16
1665,162042,3454,5600,-4896,8,7,19
1666,162052,3509,5567,-4892,2,6,21
1667,162064,3548,5551,-4845,-8,7,18
1668,162074,3518,5564,-4790,-14,5,11
1669,162125,3365,5577,-4827,-3,12,17
1670,162142,3412,5603,-4832,-7,7,13
1671,162169,3495,5531,-4811,6,6,21
1672,162180,3542,5537,-4820,10,1,14
1673,162191,3539,5555,-4845,9,2,5
1674,162203,3471,5571,-4858,-3,4,7
1675,162213,3462,5545,-4807,-12,3,7
1676,162225,3436,5551,-4776,-14,4,6
1677,162235,3408,5585,-4787,-7,1,4
1678,162267,3426,5601,-4850,-6,-1,2
1679,162316,3460,5582,-4787,-14,1,-2
1680,162332,3471,5552,-4804,-9,-1,1
1681,162343,3472,5560,-4834,-7,-3,-1
1682,162353,3439,5564,-4822,-12,-1,-2
1683,162365,3398,5560,-4805,-16,-1,-1
1684,162383,3422,5584,-4823,-6,-4,2
1685,162424,3458,5581,-4822,-12,-3,-2
1686,162453,3450,5564,-4805,-11,-7,3
1687,162467,3427,5608,-4762,-11,-5,-4
1688,162477,3387,5603,-4750,-7,-9,-1
1689,162489,3411,5603,-4793,4,-10,2
1690,162501,3455,5602,-4827,9,-8,1
1691,162511,3464,5564,-4843,2,-5,0
1692,162523,3489,5574,-4834,-8,-4,-2
1693,162533,3487,5571,-4798,-13,-3,-6
1694,162558,3458,5549,-4752,-3,3,-6
1695,162610,3410,5596,-4830,-1,4,-5
1696,162626,3421,5579,-4838,-5,6,-5
1697,162636,3441,5542,-4824,-7,7,-1
1698,162648,3454,5544,-4805,-9,6,-1
1699,162658,3464,5557,-4809,-9,5,-4
1700,162670,3403,5547,-4780,-10,9,0
1701,162681,3407,5533,-4785,-6,6,6
1702,162700,3428,5557,-4799,-2,5,9
1703,162751,3427,5577,-4808,-1,4,14
1704,162777,3421,5565,-4847,-2,-2,15
1705,162789,3418,5586,-4837,-4,-3,14
1706,162800,3426,5570,-4801,-7,-1,20
1707,162819,3439,5568,-4770,0,-4,17
1708,162837,3403,5601,-4799,0,-1,16
1709,162893,3478,5581,-4767,-12,1,3
1710,162910,3435,5576,-4741,-3,-2,3
1711,162922,3415,5556,-4737,1,0,4
1712,162932,3415,5598,-4756,7,4,3
1713,162944,3444,5611,-4835,1,7,4
1714,162954,3483,5624,-4877,-2,6,1
1715,162966,3488,5640,-4840,-11,9,-3
1716,162976,3475,5585,-4805,-14,11,-3
1717,163018,3453,5576,-4811,-1,12,-14
1718,163054,3398,5549,-4784,-20,10,-9
1719,163066,3413,5554,-4779,-4,3,-2
1720,163076,3422,5567,-4796,5,3,-2
1721,163088,3421,5551,-4829,14,1,0
1722,163098,3426,5562,-4851,11,2,3
1723,163110,3446,5546,-4814,1,1,4
1724,163122,3477,5560,-4785,-6,1,6
1725,163132,3481,5562,-4761,-7,3,6
1726,163163,3469,5561,-4781,14,0,12
1727,163218,3480,5566,-4809,1,9,9
1728,163232,3509,5585,-4785,-2,6,8
1729,163244,3521,5594,-4791,-2,7,0
1730,163255,3473,5600,-4798,-4,12,-4
1731,163267,3417,5564,-4793,-5,12,-2
1732,163277,3410,5557,-4787,-2,11,2
1733,163296,3427,5557,-4777,-2,11,0
1734,163351,3517,5576,-4830,-1,11,-11
1735,163371,3441,5563,-4809,-10,14,-13
1736,163383,3432,5577,-4814,-10,13,-13
1737,163393,3406,5582,-4805,-15,11,-14
1738,163405,3400,5539,-4803,-12,11,-8
1739,163416,3420,5528,-4792,-2,6,-5
1740,163432,3446,5579,-4840,4,8,-8
1741,163451,3499,5549,-4861,-5,6,-2
1742,163470,3505,5561,-4829,-21,8,-7
1743,163500,3413,5551,-4741,-23,6,0
1744,163520,3443,5559,-4772,3,4,5
1745,163536,3428,5596,-4862,4,1,1
1746,163548,3446,5606,-4855,-7,3,4
1747,163562,3495,5551,-4781,-22,7,7
1748,163573,3481,5570,-4738,-26,7,2
1749,163600,3419,5579,-4753,-8,6,6
1750,163649,3441,5602,-4805,-1,-1,5
1751,163672,3486,5574,-4744,-3,2,13
1752,163684,3466,5564,-4799,-7,5,6
1753,163694,3457,5584,-4808,-10,3,6
1754,163706,3453,5598,-4797,-11,0,8
1755,163716,3467,5571,-4763,-9,-1,13
1756,163729,3476,5564,-4755,-2,-3,14
1757,163762,3456,5609,-4790,15,-2,4
1758,163810,3479,5601,-4756,-21,5,0
1759,163824,3476,5587,-4744,-14,5,1
1760,163835,3466,5570,-4749,-1,5,1
1761,163847,3436,5602,-4829,5,1,-5
1762,163858,3436,5602,-4848,-6,3,-6
1763,163870,3454,5583,-4818,-17,5,-5
1764,163893,3493,5576,-4753,-25,8,-8
1765,163947,3434,5540,-4769,-3,-1,0
1766,163963,3455,5574,-4806,2,-2,-1
1767,163974,3448,5601,-4849,-2,-1,-1
1768,163987,3465,5586,-4828,-4,0,2
1769,163999,3488,5563,-4763,-18,0,0
1770,164012,3451,5583,-4746,-11,-1,-4
1771,164024,3419,5591,-4747,-4,1,-3
1772,164044,3448,5575,-4771,7,-4,8
1773,164103,3484,5587,-4785,-12,4,-8
1774,164122,3417,5590,-4738,-8,4,-4
1775,164135,3438,5569,-4736,-2,4,2
1776,164148,3459,5584,-4767,7,3,2
1777,164159,3468,5596,-4811,8,3,-4
1778,164173,3445,5586,-4828,-5,4,-4
1779,164194,3462,5574,-4795,-14,5,-4
1780,164259,3432,5577,-4788,-5,7,5
1781,164271,3457,5582,-4796,-5,6,6
1782,164283,3458,5587,-4780,-3,6,5
1783,164294,3459,5583,-4781,3,7,6
1784,164306,3454,5585,-4775,2,6,5
1785,164317,3451,5568,-4778,0,9,5
1786,164329,3462,5592,-4777,2,8,5
1787,164360,3447,5582,-4783,6,9,7
1788,164409,3469,5582,-4785,1,8,2
1789,164422,3483,5593,-4777,0,8,1
1790,164433,3459,5606,-4789,-1,7,-1
1791,164446,3465,5558,-4789,0,8,0
1792,164457,3473,5566,-4791,3,8,-1
1793,164469,3454,5578,-4785,-2,9,-3
1794,164480,3447,5573,-4773,-1,8,0
1795,164516,3486,5603,-4830,4,5,-1
1796,164559,3456,5581,-4790,-5,7,-2
1797,164575,3433,5577,-4799,-3,8,0
1798,164587,3475,5572,-4784,3,3,6
1799,164598,3484,5571,-4758,7,3,4
1800,164617,3461,5568,-4782,10,6,3
1801,164639,3479,5599,-4802,1,7,4
1802,164697,3465,5572,-4791,16,1,-1
1803,164717,3429,5564,-4765,8,2,-2
1804,164729,3478,5590,-4788,-2,6,-1
1805,164740,3484,5586,-4791,-10,9,-1
1806,164753,3483,5587,-4779,-7,9,1
1807,164765,3493,5571,-4768,-1,6,2
1808,164776,3501,5558,-4783,4,5,1
1809,164796,3484,5563,-4812,7,5,-2
1810,164839,3466,5560,-4765,-11,8,7
1811,164865,3468,5571,-4778,2,6,6
1812,164876,3460,5559,-4795,6,5,7
1813,164890,3454,5564,-4795,3,5,7
1814,164902,3454,5586,-4745,1,7,7
1815,164913,3477,5567,-4771,6,8,11
1816,164925,3510,5565,-4834,7,7,12
1817,164947,3481,5584,-4796,-8,11,1
1818,165003,3467,5612,-4836,13,11,8
1819,165020,3469,5570,-4843,1,11,12
1820,165032,3490,5551,-4828,-8,13,13
1821,165044,3441,5564,-4739,-12,12,6
1822,165056,3430,5556,-4738,3,11,9
1823,165068,3464,5536,-4779,16,6,14
1824,165079,3493,5564,-4819,20,6,15
1825,165106,3508,5553,-4813,-8,8,15
1826,165156,3466,5541,-4782,2,7,16
1827,165172,3476,5570,-4811,6,6,17
1828,165184,3496,5573,-4817,5,5,13
1829,165195,3522,5567,-4841,-1,6,11
1830,165208,3532,5578,-4806,-12,4,9
1831,165219,3521,5588,-4779,-18,6,5
1832,165232,3511,5575,-4745,-12,8,6
1833,165297,3486,5585,-4783,-11,8,-1
1834,165318,3483,5556,-4785,-1,5,-1
1835,165330,3504,5536,-4793,-1,2,0
1836,165341,3503,5558,-4802,-3,-1,-4
1837,165354,3468,5566,-4792,-7,3,-6
1838,165367,3469,5547,-4768,-6,2,0
1839,165378,3496,5526,-4783,11,-6,6
1840,165397,3514,5571,-4826,10,-4,5
1841,165446,3490,5564,-4752,-14,-6,5
1842,165474,3512,5552,-4809,15,-10,9
1843,165487,3502,5590,-4842,15,-11,3
1844,165498,3493,5620,-4830,3,-8,-1
1845,165511,3498,5576,-4742,-15,-3,3
1846,165523,3529,5573,-4718,-5,-6,1
1847,165534,3532,5561,-4761,7,-4,-3
1848,165575,3533,5560,-4781,-2,2,-8
1849,165619,3489,5578,-4815,3,3,-14
1850,165634,3457,5577,-4814,-10,1,-21
1851,165646,3441,5563,-4811,-13,1,-20
1852,165657,3450,5553,-4779,-12,2,-15
1853,165670,3486,5530,-4771,-3,1,-10
1854,165683,3496,5562,-4857,6,-2,-18
1855,165699,3488,5573,-4830,2,-1,-17
1856,165720,3529,5570,-4816,-11,0,-13
1857,165747,3452,5567,-4777,-10,-1,-16
1858,165781,3417,5570,-4783,-4,-4,-16
1859,165803,3450,5548,-4750,5,-6,-11
1860,165816,3486,5588,-4837,6,-8,-15
1861,165828,3487,5600,-4843,-4,-5,-13
1862,165844,3496,5578,-4808,-9,-7,-12
1863,165861,3466,5556,-4753,-6,-8,-11
1864,165894,3453,5572,-4815,17,-9,-6
1865,165912,3408,5578,-4814,-2,-3,-7
1866,165931,3463,5550,-4764,-6,-2,-1
1867,165949,3451,5567,-4783,5,-2,1
1868,165961,3443,5586,-4808,8,-5,2
1869,165974,3443,5563,-4824,9,-3,4
1870,166010,3418,5572,-4777,-10,-1,7
1871,166050,3446,5540,-4789,1,2,13
1872,166061,3445,5545,-4781,5,4,15
1873,166074,3448,5542,-4765,5,5,17
1874,166087,3475,5541,-4784,9,5,21
1875,166098,3483,5564,-4814,10,9,24
1876,166111,3457,5560,-4810,10,9,23
1877,166122,3453,5566,-4804,15,6,29
1878,166164,3422,5605,-4811,18,7,19
1879,166204,3495,5592,-4806,-2,6,12
1880,166216,3519,5579,-4770,-3,6,8
1881,166229,3539,5554,-4776,5,5,5
1882,166240,3508,5575,-4816,14,8,-2
1883,166253,3518,5564,-4861,13,10,-7
1884,166270,3525,5588,-4866,6,14,-11
1885,166299,3466,5575,-4804,-13,14,-17
1886,166359,3466,5535,-4854,11,11,-3
1887,166372,3500,5511,-4846,1,9,1
1888,166384,3514,5544,-4827,5,6,1
1889,166396,3499,5578,-4786,8,4,0
1890,166409,3461,5580,-4772,12,6,3
1891,166420,3456,5556,-4765,20,5,7
1892,166440,3463,5575,-4825,15,9,2
1893,166494,3466,5550,-4790,4,11,-4
1894,166516,3493,5561,-4851,17,5,-3
1895,166529,3484,5582,-4877,8,5,-10
1896,166541,3465,5573,-4848,-6,10,-8
1897,166554,3459,5544,-4805,-19,11,-4
1898,166566,3487,5545,-4783,-18,8,-3
1899,166585,3449,5537,-4825,-6,2,-5
1900,166642,3498,5551,-4830,-12,2,5
1901,166665,3476,5533,-4757,-16,4,7
1902,166677,3484,5548,-4772,0,4,10
1903,166690,3470,5544,-4786,3,4,11
1904,166702,3468,5560,-4835,11,3,13
1905,166715,3465,5568,-4845,9,4,13
1906,166727,3488,5569,-4840,-3,4,8
1907,166759,3487,5557,-4790,-3,5,9
1908,166784,3471,5564,-4809,0,5,1
1909,166802,3477,5553,-4822,-1,3,6
1910,166830,3481,5550,-4792,-3,5,3
1911,166845,3478,5551,-4793,4,5,5
1912,166857,3495,5561,-4802,2,8,4
1913,166870,3496,5567,-4834,-7,9,1
1914,166882,3482,5559,-4811,-11,10,1
1915,166899,3486,5546,-4783,-13,8,3
1916,166955,3463,5565,-4802,-11,7,1
1917,166982,3486,5546,-4813,-3,6,-2
1918,166995,3509,5551,-4817,-5,3,1
1919,167010,3502,5563,-4805,-11,3,-1
1920,167022,3506,5542,-4786,-7,5,-4
1921,167069,3452,5576,-4813,-6,1,-4
1922,167100,3476,5551,-4788,-6,2,-6
1923,167114,3489,5559,-4814,-4,-1,-2
1924,167127,3486,5560,-4821,-3,-1,-1
1925,167139,3496,5569,-4808,-5,1,-2
1926,167152,3497,5555,-4770,-10,0,-2
1927,167165,3461,5540,-4769,-4,0,1
1928,167177,3467,5540,-4796,-1,1,-1
1929,167205,3485,5578,-4831,-11,-1,2
1930,167258,3453,5580,-4780,-3,-2,-7
1931,167282,3465,5610,-4793,-10,-1,-4
1932,167295,3470,5602,-4793,-14,1,-1
1933,167308,3521,5551,-4787,-6,2,-3
1934,167320,3504,5558,-4814,-5,3,-8
1935,167343,3461,5566,-4763,-8,7,-7
1936,167410,3433,5568,-4828,-10,13,-6
1937,167430,3458,5554,-4800,-8,6,2
1938,167445,3457,5532,-4778,-15,10,4
1939,167459,3460,5540,-4765,-5,4,8
1940,167473,3472,5548,-4789,0,2,11
1941,167486,3497,5542,-4809,5,2,12
1942,167549,3478,5590,-4787,3,5,12
1943,167571,3487,5587,-4751,2,4,15
1944,167586,3509,5588,-4749,6,2,13
1945,167600,3505,5609,-4831,13,2,5
1946,167620,3513,5587,-4798,-5,8,2
1947,167677,3476,5569,-4786,1,6,-7
1948,167701,3462,5557,-4799,-9,6,-10
1949,167715,3456,5555,-4779,-13,6,-8
1950,167728,3476,5558,-4779,-11,5,-5
1951,167740,3481,5564,-4776,-5,3,-7
1952,167754,3465,5559,-4804,2,1,-2
1953,167767,3480,5536,-4811,-2,1,0
1954,167779,3481,5550,-4791,-4,1,1
1955,167819,3477,5564,-4788,0,0,4
1956,167860,3472,5567,-4787,5,0,2
1957,167876,3482,5578,-4801,-3,2,1
1958,167889,3494,5580,-4793,-6,2,0
1959,167901,3497,5579,-4783,-7,2,1
1960,167915,3493,5558,-4756,-3,2,-2
1961,167928,3495,5567,-4763,2,3,-2
1962,167957,3440,5549,-4792,-3,6,-1
1963,168011,3507,5556,-4791,5,2,6
1964,168027,3476,5563,-4802,4,4,4
1965,168039,3466,5558,-4796,-3,4,3
1966,168053,3449,5555,-4772,-7,4,5
1967,168066,3454,5563,-4757,-1,5,5
1968,168078,3456,5580,-4782,4,4,7
1969,168098,3520,5546,-4832,10,1,12
1970,168153,3461,5542,-4720,4,5,6
1971,168175,3441,5594,-4818,9,1,3
1972,168188,3480,5561,-4810,-7,5,8
1973,168200,3513,5563,-4811,-7,4,7
1974,168214,3524,5563,-4792,-5,6,3
1975,168227,3510,5552,-4764,-4,8,3
1976,168248,3489,5544,-4789,4,6,0
1977,168317,3499,5593,-4790,7,4,-2
1978,168331,3563,5575,-4792,4,6,-3
1979,168344,3559,5606,-4794,-7,9,-11
1980,168358,3498,5603,-4789,-14,9,-18
1981,168371,3486,5592,-4760,-14,5,-16
1982,168387,3487,5587,-4774,-10,6,-19
1983,168403,3421,5589,-4773,-3,6,-24
1984,168428,3444,5611,-4801,1,6,-24
1985,168449,3501,5578,-4833,-17,13,-23
1986,168468,3495,5563,-4771,-29,9,-25
1987,168493,3466,5558,-4771,-6,2,-20
1988,168515,3417,5575,-4778,2,0,-13
1989,168529,3437,5569,-4811,3,-2,-9
1990,168574,3502,5558,-4745,-14,-4,-7
1991,168611,3444,5611,-4785,6,-7,-9
1992,168626,3451,5596,-4729,-5,-4,-8
1993,168639,3436,5622,-4676,1,-3,-12
1994,168652,3465,5634,-4766,11,-4,-8
1995,168664,3479,5636,-4843,-2,2,-14
1996,168678,3501,5586,-4802,-19,4,-20
1997,168711,3404,5612,-4723,-17,6,-25
1998,168765,3417,5622,-4814,-12,-1,-27
1999,168779,3431,5606,-4742,-15,3,-25
2000,168792,3471,5577,-4743,-7,-1,-20
2001,168804,3487,5554,-4817,0,-3,-22
2002,168818,3388,5621,-4815,-27,4,-31
2003,168832,3380,5606,-4795,-27,3,-22
2004,168882,3392,5652,-4778,-6,-4,-12
2005,168904,3461,5611,-4755,-12,-3,-9
2006,168929,3347,5599,-4735,-20,4,-10
2007,168942,3391,5607,-4715,-22,4,-4
2008,168956,3435,5612,-4718,-10,5,2
2009,168969,3454,5633,-4811,11,-1,0
2010,169017,3411,5593,-4684,-11,4,2
2011,169051,3420,5644,-4804,-12,10,4
2012,169064,3416,5636,-4745,-21,7,7
2013,169078,3411,5603,-4729,-16,4,9
2014,169092,3383,5605,-4744,-3,6,8
2015,169104,3375,5611,-4776,-2,9,8
2016,169118,3401,5606,-4824,-4,11,12
2017,169131,3429,5638,-4831,-16,10,13
2018,169172,3361,5630,-4665,-16,-7,8
2019,169217,3432,5656,-4878,-36,-18,-4
2020,169231,3409,5613,-4741,-73,-15,-2
2021,169244,3463,5616,-4678,-40,-21,-11
2022,169259,3437,5647,-4659,-35,-20,-12
2023,169273,3436,5650,-4736,-8,-24,-7
2024,169339,3434,5654,-4754,-25,-1,-13
2025,169359,3360,5639,-4647,-29,0,-13
2026,169373,3350,5656,-4640,-10,-2,-10
2027,169385,3345,5664,-4696,13,0,-6
2028,169399,3389,5681,-4769,12,0,-3
2029,169412,3390,5658,-4789,1,3,-4
2030,169424,3398,5615,-4744,-16,11,-3
2031,169464,3420,5675,-4711,15,14,-1
2032,169505,3359,5675,-4771,-2,12,0
2033,169519,3340,5674,-4735,-21,13,-3
2034,169533,3332,5663,-4697,-22,16,0
2035,169547,3355,5612,-4691,-12,15,5
2036,169559,3409,5619,-4724,7,10,5
2037,169573,3426,5640,-4724,12,9,4
2038,169594,3467,5640,-4730,17,6,10
2039,169627,3409,5675,-4763,-2,12,6
2040,169668,3349,5642,-4699,8,11,7
2041,169694,3439,5680,-4746,23,6,12
2042,169708,3433,5669,-4743,23,6,9
2043,169720,3486,5677,-4766,12,8,5
2044,169781,3384,5622,-4730,20,10,2
2045,169804,3392,5644,-4777,20,10,4
2046,169818,3416,5626,-4755,13,11,5
2047,169832,3487,5645,-4765,13,14,5
2048,169845,3473,5654,-4753,10,13,-2
2049,169859,3429,5655,-4743,11,15,0
2050,169873,3409,5631,-4751,21,10,0
2051,169894,3382,5667,-4768,18,10,-1
2052,169957,3400,5637,-4739,-8,14,-7
2053,169978,3402,5580,-4732,4,12,0
2054,169992,3419,5600,-4765,8,10,2
2055,170005,3416,5624,-4785,2,11,3
2056,170021,3415,5626,-4786,-2,9,5
2057,170052,3418,5640,-4769,-5,6,2
2058,170099,3408,5633,-4760,-1,-2,1
2059,170120,3425,5661,-4785,-6,-3,3
2060,170134,3440,5624,-4762,-9,-2,5
2061,170148,3468,5620,-4733,-7,0,-2
2062,170162,3436,5649,-4751,-6,0,-5
2063,170178,3403,5645,-4758,-15,2,-4
2064,170207,3412,5592,-4738,-11,4,3
2065,170259,3433,5608,-4747,-2,-1,16
2066,170278,3369,5624,-4730,1,-1,21
2067,170294,3407,5610,-4723,3,-3,25
2068,170310,3437,5613,-4737,7,-2,23
2069,170329,3446,5644,-4773,10,-2,25
2070,170344,3472,5661,-4785,11,-1,25
2071,170371,3456,5651,-4745,3,-3,10
2072,170433,3430,5626,-4725,-6,-3,0
2073,170454,3444,5629,-4781,-6,-1,-2
2074,170469,3445,5638,-4778,-11,-2,-2
2075,170493,3466,5601,-4738,-7,-5,-1
2076,170548,3405,5595,-4729,-22,0,8
2077,170568,3426,5608,-4754,-10,-4,8
2078,170584,3417,5638,-4754,-6,-5,12
2079,170600,3461,5605,-4752,-4,-8,16
2080,170629,3397,5606,-4708,-5,-4,10
2081,170694,3448,5636,-4742,5,6,11
2082,170710,3476,5634,-4742,8,5,12
2083,170727,3457,5684,-4721,2,9,4
2084,170743,3415,5638,-4742,7,10,5
2085,170759,3425,5639,-4792,1,11,2
2086,170776,3439,5608,-4746,-11,9,2
2087,170806,3479,5640,-4753,5,6,-3
2088,170855,3413,5660,-4775,-8,7,-11
2089,170872,3451,5603,-4766,-14,7,-3
2090,170893,3466,5565,-4714,-9,8,-5
2091,170906,3430,5613,-4743,8,5,-5
2092,170921,3406,5608,-4757,7,4,0
2093,170941,3415,5612,-4748,2,5,4
2094,170996,3458,5598,-4740,-1,4,4
2095,171021,3410,5637,-4703,9,7,8
2096,171035,3443,5635,-4730,14,4,10
2097,171049,3486,5604,-4801,4,4,5
2098,171062,3456,5636,-4809,-4,5,-1
2099,171077,3432,5626,-4773,-11,7,-2
2100,171119,3432,5598,-4794,5,4,6
2101,171156,3447,5612,-4733,-11,9,3
2102,171172,3453,5587,-4749,8,3,10
2103,171186,3457,5625,-4764,8,3,8
2104,171201,3447,5600,-4764,10,2,10
2105,171215,3467,5615,-4760,8,2,10
2106,171229,3434,5625,-4777,4,3,8
2107,171269,3480,5615,-4750,1,2,10
2108,171311,3462,5622,-4745,6,5,3
2109,171332,3476,5633,-4766,1,4,-1
2110,171345,3462,5601,-4767,-2,6,-4
2111,171361,3463,5620,-4748,-6,7,-6
2112,171376,3440,5613,-4770,-5,6,-6
2113,171395,3446,5602,-4757,-6,7,-6
2114,171421,3445,5603,-4752,0,1,-6
2115,171446,3452,5604,-4740,-1,4,2
2116,171497,3464,5596,-4766,4,5,9
2117,171513,3438,5607,-4764,12,3,5
2118,171526,3432,5610,-4777,10,7,4
2119,171555,3481,5618,-4760,2,3,5
2120,171598,3478,5607,-4764,14,5,6
2121,171621,3472,5631,-4826,12,5,-3
2122,171641,3444,5611,-4757,-13,8,-4
2123,171655,3429,5595,-4732,-17,9,-4
2124,171669,3432,5617,-4747,3,6,-3
2125,171682,3455,5605,-4786,6,3,0
2126,171713,3472,5603,-4776,4,1,-5
2127,171748,3463,5613,-4736,-5,4,-9
2128,171781,3480,5628,-4787,6,6,-14
2129,171795,3478,5626,-4808,3,8,-13
2130,171808,3470,5646,-4807,-4,9,-19
2131,171823,3436,5595,-4750,-9,10,-22
2132,171842,3425,5611,-4759,-4,6,-25
2133,171882,3467,5593,-4790,2,6,-24
2134,171923,3391,5609,-4729,-15,6,-27
2135,171938,3392,5593,-4705,-14,7,-21
2136,171952,3451,5603,-4771,9,2,-18
2137,171966,3451,5629,-4815,6,2,-19
2138,171993,3412,5612,-4742,-12,2,-15
2139,172038,3388,5632,-4796,-1,2,-15
2140,172065,3393,5592,-4699,-10,3,-3
2141,172082,3423,5613,-4730,2,3,-3
2142,172098,3461,5617,-4816,9,3,-6
2143,172114,3422,5613,-4756,-7,8,-3
2144,172131,3417,5622,-4730,-13,9,-1
2145,172197,3422,5618,-4762,0,10,14
2146,172223,3435,5606,-4766,3,10,16
2147,172241,3427,5613,-4747,-1,9,18
2148,172257,3413,5632,-4773,1,6,21
2149,172274,3384,5633,-4753,-2,6,21
2150,172295,3443,5599,-4765,9,4,26
2151,172360,3476,5619,-4756,16,4,17
2152,172380,3476,5637,-4788,11,5,5
2153,172395,3459,5648,-4808,5,8,2
2154,172408,3436,5650,-4761,-6,8,-2
2155,172423,3416,5640,-4697,-9,10,-2
2156,172446,3466,5610,-4744,9,9,-5
2157,172497,3428,5583,-4729,-9,14,-8
2158,172520,3418,5600,-4802,0,12,-7
2159,172537,3441,5584,-4833,-2,8,-4
2160,172552,3444,5607,-4801,-8,5,0
2161,172565,3424,5595,-4774,-6,5,4
2162,172580,3438,5573,-4749,0,1,8
2163,172599,3402,5604,-4776,5,-2,6
2164,172629,3446,5589,-4755,-7,-1,18
2165,172658,3469,5592,-4782,7,-2,15
2166,172704,3438,5599,-4727,-6,4,10
2167,172724,3436,5635,-4753,-4,4,5
2168,172749,3434,5620,-4757,-4,2,6
2169,172802,3472,5591,-4787,-10,7,-3
2170,172831,3469,5613,-4734,-14,10,2
2171,172847,3413,5584,-4718,0,6,2
2172,172862,3409,5601,-4742,8,6,3
2173,172884,3453,5583,-4793,-4,8,5
2174,172948,3445,5620,-4786,15,3,9
2175,172964,3433,5619,-4795,5,6,8
2176,172981,3446,5631,-4773,-5,5,9
2177,172999,3461,5617,-4753,-11,7,8
2178,173017,3475,5581,-4735,1,5,10
2179,173032,3476,5584,-4738,5,4,9
2180,173058,3446,5645,-4790,-1,5,3
2181,173089,3489,5615,-4746,-2,3,5
2182,173116,3472,5606,-4775,-4,5,0
2183,173152,3455,5572,-4728,-9,5,2
2184,173166,3456,5593,-4741,-4,1,2
2185,173187,3438,5597,-4764,-5,3,4
2186,173215,3450,5591,-4754,-8,3,8
2187,173250,3457,5589,-4761,4,0,16
2188,173274,3484,5573,-4773,6,0,16
2189,173288,3475,5609,-4752,7,-2,14
2190,173303,3456,5635,-4727,3,-1,14
2191,173318,3476,5620,-4737,7,-1,15
2192,173333,3508,5616,-4794,9,0,12
2193,173395,3439,5620,-4747,1,4,-1
2194,173425,3496,5592,-4767,-2,0,5
2195,173442,3510,5600,-4774,1,2,1
2196,173459,3484,5578,-4743,3,4,3
2197,173475,3485,5593,-4740,-3,6,0
2198,173502,3457,5590,-4752,-5,8,5
2199,173550,3441,5618,-4770,11,6,9
2200,173581,3521,5589,-4798,-2,8,9
2201,173596,3489,5585,-4742,-16,8,4
2202,173617,3459,5582,-4725,4,5,6
2203,173641,3465,5596,-4763,10,5,9
2204,173696,3529,5592,-4774,-18,8,4
2205,173717,3475,5567,-4697,-3,4,2
2206,173732,3448,5599,-4708,5,3,2
2207,173746,3452,5581,-4761,14,3,8
2208,173762,3484,5600,-4789,8,5,5
2209,173778,3483,5600,-4782,-3,11,7
2210,173814,3557,5559,-4732,0,9,3
2211,173861,3435,5571,-4733,-3,7,8
2212,173879,3475,5603,-4772,10,2,9
2213,173894,3479,5568,-4789,12,3,13
2214,173908,3520,5552,-4772,9,2,16
2215,173924,3535,5574,-4769,1,2,9
2216,173946,3502,5556,-4720,7,3,17
2217,173990,3474,5609,-4771,12,3,14
2218,174027,3543,5588,-4747,-2,9,6
2219,174044,3546,5608,-4747,6,11,3
2220,174060,3525,5594,-4762,5,9,0
