seq,timestamp_ms,ax,ay,az,gx,gy,gz
143,136722,3381,5669,-4638,-17,-33,54
144,136739,3379,5665,-4627,-1,-33,56
145,136758,3464,5646,-4764,21,-35,55
146,136780,3496,5746,-4744,-2,-27,38
147,136794,3476,5699,-4690,-13,-24,38
148,136805,3539,5637,-4653,1,-24,38
149,136816,3495,5636,-4682,5,-19,28
150,136826,3440,5655,-4697,3,-14,23
151,136836,3406,5658,-4729,6,-13,25
152,136846,3398,5632,-4756,6,-12,26
153,136856,3417,5641,-4744,3,-7,25
154,136866,3412,5653,-4710,1,-2,22
155,136876,3406,5632,-4691,2,-2,19
156,136886,3443,5645,-4742,8,-2,20
157,136897,3455,5660,-4797,9,-3,18
158,136918,3447,5647,-4731,-13,-3,13
159,136932,3435,5600,-4689,-5,-1,16
160,136951,3485,5642,-4672,18,1,13
161,136962,3490,5644,-4719,28,2,11
162,136973,3465,5654,-4771,33,4,12
163,136984,3455,5637,-4790,23,5,10
164,136994,3451,5622,-4786,6,12,7
165,137003,3441,5654,-4754,-8,15,4
166,137014,3425,5635,-4709,-10,15,4
167,137023,3452,5644,-4701,-3,10,1
168,137040,3436,5615,-4739,16,8,-2
169,137064,3433,5648,-4770,16,6,-6
170,137079,3435,5639,-4773,9,5,-10
171,137091,3431,5655,-4764,1,5,-10
172,137102,3435,5642,-4741,-2,6,-10
173,137113,3438,5618,-4729,-1,8,-7
174,137123,3436,5580,-4722,0,6,-6
175,137133,3445,5567,-4759,8,4,-6
176,137143,3447,5625,-4803,15,3,-11
177,137153,3431,5632,-4821,8,4,-14
178,137163,3443,5631,-4794,0,5,-8
179,137173,3486,5631,-4761,-3,3,-8
180,137190,3458,5651,-4728,2,-1,-16
181,137202,3447,5648,-4757,3,-3,-14
182,137224,3423,5627,-4753,0,-2,-11
183,137243,3415,5591,-4741,1,-2,-12
184,137256,3417,5586,-4767,2,-2,-15
185,137265,3419,5633,-4795,6,0,-16
186,137276,3405,5646,-4792,3,0,-15
187,137286,3407,5631,-4786,-1,-1,-14
188,137296,3417,5617,-4756,-2,-1,-11
189,137306,3416,5607,-4754,-4,-1,-12
190,137316,3413,5627,-4746,-4,-2,-13
191,137333,3432,5607,-4765,-8,-3,-7
192,137352,3410,5602,-4773,-7,-1,-6
193,137376,3412,5589,-4726,-3,-5,-4
194,137389,3407,5630,-4726,5,-6,-7
195,137405,3371,5631,-4783,5,-3,3
196,137416,3428,5623,-4802,1,-4,6
197,137427,3459,5611,-4804,-8,-3,5
198,137437,3436,5612,-4790,-17,-1,4
199,137448,3398,5612,-4738,-23,0,2
200,137458,3385,5588,-4705,-21,-1,4
201,137469,3402,5616,-4704,-8,-4,6
202,137483,3419,5633,-4762,18,-4,8
203,137501,3423,5619,-4807,19,-5,8
204,137531,3425,5657,-4770,-11,8,1
205,137546,3426,5629,-4718,-10,1,2
206,137558,3421,5629,-4705,-9,6,0
207,137569,3408,5622,-4733,-2,5,1
208,137580,3405,5632,-4762,2,3,2
209,137589,3410,5626,-4802,2,2,3
210,137601,3405,5610,-4788,-3,3,7
211,137612,3425,5594,-4795,-2,-1,6
212,137622,3424,5605,-4809,2,-2,3
213,137633,3392,5593,-4776,-1,1,3
214,137654,3394,5617,-4736,6,-3,9
215,137674,3421,5642,-4791,-3,1,12
